"","gen","BRCA","COADREAD","GBM","GBMLGG","HNSC","KIPAN","KIRC","LGG","LUAD","LUSC","OV","STES","THCA","UCEC","n_significance"
"156","POLE",0.913395,0.001082,0.029434,0.645224,0.59525,0.238473,0.644645,0.597378,0.000283,0.10836,0.473689,0.74973,0.864866,0.022013,4
"157","PPP2R1A",0.379424,0.636305,NA,NA,0.470164,0.411471,0.454498,NA,0,0.392625,0,0.139192,0.006725,0.047199,4
"158","PTCH1",0.200743,0.043239,0.357117,0.847537,0.387281,0.15737,0.330758,NA,0.315478,0.951165,0,0.226448,0.047726,0.025301,4
"159","PTEN",0.993364,0.744221,0.295589,0,0.85066,0.547677,0.992766,0,0.671194,0.04666,0.518489,0.367188,0.889626,0.006986,4
"160","PTPRT",0.629391,0.024184,0.384649,0.015771,0.711407,0.082817,0.016399,NA,0.292424,0.552448,0.179413,0.036084,0.806973,0.133072,4
"161","PTPRZ1",0.712056,0.093184,0.9011,0.718847,0.485458,0.034225,0.004041,0.154027,0.342853,0.216096,0.751845,0.924736,0.047726,0.010657,4
"162","REV3L",0.926829,0.003388,0.137064,0.277297,0.722824,0.800355,0.130384,0.915706,0,0.800907,0,0.796161,0.957126,0.037758,4
"163","ROS1",0.140506,1e-06,0.084923,0.650697,0.884568,0.195779,0.177152,0.598951,0,0.476401,0,0.465167,0.632999,0.04112,4
"164","RTTN",0.25423,0.77444,0.282268,0.026083,0.007279,0.95794,0.77155,0.935984,0.949551,0.299105,0,0.886797,0.677884,0.031715,4
"165","RYR2",0.708963,2e-06,0.881606,0.016322,0.554718,0.118746,0.286874,0.062772,0.412417,0.048004,0.138303,0.598009,0.936243,0.002668,4
"166","RYR3",0.333144,0,0.729928,0.014365,0.437096,0.485103,0.632446,0.749597,0.657424,0.048958,0.136125,0.609348,0.936243,0.002465,4
"167","SAMD9L",0.753638,0.227996,0.417825,0.859227,0.807783,0.263748,0.434187,NA,0,0.275533,0,0.47344,0,0.038418,4
"168","SCN7A",0.334014,4e-06,0.014688,0.009943,0.399074,0.305049,0.293043,0.556692,0.439274,0.150429,0.315035,0.995709,NA,0.018098,4
"169","SEMA6D",0.71363,0.003606,3.7e-05,0.605667,0.37429,0.822872,0.996918,0.580519,0.597655,0.779861,0,0.7486,NA,0.03043,4
"170","SLITRK3",0.397898,5e-06,NA,0.144624,0.577975,0.175781,0.418309,0,0.483155,0.709965,0,0.958048,0.802398,0.025443,4
"171","SMG1",0.339462,5.7e-05,0.101748,0.006304,0.117473,0.579825,0.323808,NA,0.572089,0.440824,0,0.232019,0.907185,0.036224,4
"172","SPG11",0.432655,0.23393,0.029713,0.002389,0.421082,0.813603,0.161336,NA,0.9676,0.315707,0,0.097019,NA,0.031876,4
"173","SPTB",0.409938,0.508687,0.752899,0.185092,0.05561,0.610078,0.922683,0.024983,0,0.912111,0,0.500035,0.936243,0.043048,4
"174","SPTBN1",0.579938,0,0.966667,0.72936,0.525176,0.040167,0.01911,0.582999,0.227034,0.881825,0.958975,0.282596,0.936243,0.011227,4
"175","SRGAP1",0.586438,0.748868,0.803206,0.792497,0.000675,0.627314,0.922167,0.545688,0,0.862843,0,0.662106,NA,0.049012,4
"176","SRRM2",0.001114,0.453763,0.462878,0.184064,0.055951,0.041888,0.064297,0.215419,0.455451,0.933688,0,0.93943,0.936243,0.036325,4
"177","SYNE1",0.614012,0,0.722234,0.167343,0.152226,0.003011,0.014726,0.463345,0.141055,0.095017,0.395656,0.932982,0.630841,2.8e-05,4
"178","TACC2",0.543209,0.015966,0.078171,0.11465,0.180502,0.965358,0.765783,0.006304,0.799074,0.075406,0.771243,0.103096,0.042768,0.01058,4
"179","TDRD6",0.270233,4.2e-05,0.229207,0.579493,0.951517,0.706683,0.65024,NA,0,0.829123,0,0.680243,0.493888,0.04227,4
"180","TET1",0.479191,7.5e-05,0.085567,0.092933,0.274975,0.366427,0.047281,0.915706,0.462302,0.600604,0,0.385207,0.936243,0.03237,4
"181","TET2",0.293245,0.740641,0.129872,0.022395,0.057331,0.392415,0.321427,0.926394,0,0.211274,0,0.588794,NA,0.044697,4
