"gen" "GBMLGG" "BRCA" "KIPAN" "COADREAD" "STES" "GBM" "OV" "UCEC" "KIRC" "HNSC" "LUAD" "LGG" "LUSC" "THCA"
"149" "BIRC6" "0.004" "0.023" "0.024" "0.017" "0.075" "0.007" "0.012" "0.058" "0.019" "0.03" "0.033" "0" "0.058" "0.002"
"150" "ASPM" "0.007" "0.024" "0.013" "0.032" "0.068" "0.008" "0.007" "0.058" "0.011" "0.047" "0.071" "0.006" "0.038" "0.004"
"151" "MLL3" "0.013" "0.065" "0.047" "0.027" "0.089" "0.024" "0.015" "0.058" "0.034" "0.045" "0.092" "0" "0.067" "0.008"
"152" "ZFHX3" "0.006" "0.021" "0.021" "0.037" "0.088" "0.008" "0.008" "0.086" "0.015" "0.028" "0.029" "0.004" "0.032" "0.018"
"153" "NBEA" "0.005" "0.015" "0.012" "0.024" "0.107" "0.008" "0.015" "0.066" "0.009" "0.023" "0.036" "0.002" "0.032" "0"
"154" "HERC2" "0.008" "0.029" "0.022" "0.03" "0.097" "0.01" "0.012" "0.066" "0.019" "0.04" "0.04" "0.006" "0.062" "0"
"155" "MKI67" "0.009" "0.014" "0.015" "0.032" "0.07" "0.01" "0.008" "0.066" "0.013" "0.025" "0.056" "0.008" "0.026" "0.002"
"156" "LRRK2" "0.004" "0.015" "0.014" "0.033" "0.108" "0.007" "0.019" "0.047" "0.011" "0.038" "0.023" "0" "0.054" "0.002"
"157" "PCDH15" "0.005" "0.016" "0.016" "0.038" "0.139" "0.008" "0.014" "0.06" "0.017" "0.053" "0.094" "0.002" "0.065" "0.004"
"158" "VPS13C" "0.008" "0.017" "0.017" "0.025" "0.062" "0.005" "0.007" "0.036" "0.015" "0.03" "0.038" "0.012" "0.024" "0.002"
"159" "ZNF292" "0.007" "0.016" "0.009" "0.029" "0.062" "0.005" "0.007" "0.053" "0.009" "0.015" "0.025" "0.01" "0.022" "0.002"
