"markers","BRCA","COAD","COADREAD","GBMLGG","KIPAN","KIRC","KIRP","LGG","LUAD","LUSC","OV","READ","UCEC"
"KBTBD2",NA,0.00182100785704264,0.000351359461914336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KCNJ10",NA,0.000227429035902338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KIAA0195",NA,0.000546646360281566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KIAA1549",NA,0.00064951176091943,0.00171545695632069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LOC554248",NA,0.000528643917640848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MGC16384",NA,0.00110007206713614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N6AMT1",NA,0.000558435519079969,0.0016697025674467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NDUFA4",NA,0.00147203265677742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NODAL",NA,0.00131438997067734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OLFM3",NA,0.00141586439142427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR5AS1",NA,0.00082960100728724,0.000671338232779206,NA,NA,NA,0.00815097159350264,NA,NA,NA,NA,NA,NA
"PDCD1LG2",NA,0.00214108102626598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00828440349112536
"PDXDC2",NA,0.0010131811647357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PGRMC2",NA,0.00103716245384811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PILRB",NA,0.00168421162127919,0.0010054597165331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLA2G2F",NA,0.00106648588986769,0.00100165340624925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLD4",NA,0.00141533536790361,0.00197247521722377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLEKHM2",NA,0.000473862620019916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PMS2L3",NA,0.000526435129928005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"POLH",NA,0.00120430684526374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PRF1",NA,0.000396751945874185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PSPN",NA,0.00198616230993964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PTCD1",NA,0.0013974332335458,0.000896297554331182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RAB5C",NA,0.0014193086627321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
